[INFO: Main      ] Starting Contiki-NG
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 1
[INFO: Main      ] Link-layer address: 0012.7401.0001.0101
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:7401:1:101
[INFO: Sky       ] CC2420 CCA threshold -45
aggregator, node_id: 3, sample: 74.000, missed_samples: 0, msg_ids_in_msg: [1, 1, 1], node_ids_in_msg: [7, 8, 9] , time: 3575424 #
aggregator, node_id: 3, sample: 60.181, missed_samples: 0, msg_ids_in_msg: [38, 40, 38], node_ids_in_msg: [7, 8, 9] , time: 156661587 #
aggregator, node_id: 2, sample: 39.967, missed_samples: 0, msg_ids_in_msg: [38, 40, 40], node_ids_in_msg: [4, 5, 6] , time: 157364716 #
aggregator, node_id: 3, sample: 52.147, missed_samples: 0, msg_ids_in_msg: [39, 41, 39], node_ids_in_msg: [7, 8, 9] , time: 160935017 #
aggregator, node_id: 2, sample: 41.882, missed_samples: 0, msg_ids_in_msg: [39, 41, 41], node_ids_in_msg: [4, 5, 6] , time: 161403774 #
aggregator, node_id: 3, sample: 61.202, missed_samples: 0, msg_ids_in_msg: [40, 42, 40], node_ids_in_msg: [7, 8, 9] , time: 164544407 #
aggregator, node_id: 2, sample: 85.500, missed_samples: 0, msg_ids_in_msg: [40, 42, 42], node_ids_in_msg: [4, 5, 6] , time: 165358984 #
aggregator, node_id: 2, sample: 69.081, missed_samples: 0, msg_ids_in_msg: [41, 43, 43], node_ids_in_msg: [4, 5, 6] , time: 168906113 #
aggregator, node_id: 3, sample: 24.226, missed_samples: 0, msg_ids_in_msg: [41, 43, 41], node_ids_in_msg: [7, 8, 9] , time: 169317841 #
aggregator, node_id: 3, sample: 68.492, missed_samples: 0, msg_ids_in_msg: [42, 44, 42], node_ids_in_msg: [7, 8, 9] , time: 172882418 #
aggregator, node_id: 2, sample: 37.289, missed_samples: 0, msg_ids_in_msg: [42, 44, 44], node_ids_in_msg: [4, 5, 6] , time: 173856882 #
aggregator, node_id: 3, sample: 46.786, missed_samples: 1, msg_ids_in_msg: [43, 45, 43], node_ids_in_msg: [7, 8, 9] , time: 177403773 #
aggregator, node_id: 2, sample: 21.653, missed_samples: 0, msg_ids_in_msg: [43, 45, 45], node_ids_in_msg: [4, 5, 6] , time: 178132836 #
aggregator, node_id: 3, sample: 68.126, missed_samples: 0, msg_ids_in_msg: [44, 47, 44], node_ids_in_msg: [7, 8, 9] , time: 181895943 #
aggregator, node_id: 2, sample: 39.118, missed_samples: 1, msg_ids_in_msg: [44, 46, 46], node_ids_in_msg: [4, 5, 6] , time: 182560035 #
aggregator, node_id: 3, sample: 31.657, missed_samples: 0, msg_ids_in_msg: [45, 48, 45], node_ids_in_msg: [7, 8, 9] , time: 186192840 #
aggregator, node_id: 2, sample: 33.317, missed_samples: 0, msg_ids_in_msg: [45, 47, 48], node_ids_in_msg: [4, 5, 6] , time: 187294401 #
aggregator, node_id: 3, sample: 55.585, missed_samples: 0, msg_ids_in_msg: [46, 49, 46], node_ids_in_msg: [7, 8, 9] , time: 189731910 #
aggregator, node_id: 2, sample: 43.850, missed_samples: 0, msg_ids_in_msg: [46, 48, 49], node_ids_in_msg: [4, 5, 6] , time: 190888155 #
aggregator, node_id: 3, sample: 53.736, missed_samples: 0, msg_ids_in_msg: [47, 50, 47], node_ids_in_msg: [7, 8, 9] , time: 194380328 #
aggregator, node_id: 2, sample: 45.380, missed_samples: 0, msg_ids_in_msg: [47, 49, 50], node_ids_in_msg: [4, 5, 6] , time: 195060009 #
aggregator, node_id: 2, sample: 63.162, missed_samples: 0, msg_ids_in_msg: [48, 50, 51], node_ids_in_msg: [4, 5, 6] , time: 199005337 #
aggregator, node_id: 3, sample: 52.517, missed_samples: 1, msg_ids_in_msg: [48, 51, 48], node_ids_in_msg: [7, 8, 9] , time: 199208456 #
aggregator, node_id: 2, sample: 44.645, missed_samples: 0, msg_ids_in_msg: [49, 51, 52], node_ids_in_msg: [4, 5, 6] , time: 202614696 #
aggregator, node_id: 3, sample: 22.135, missed_samples: 0, msg_ids_in_msg: [50, 52, 49], node_ids_in_msg: [7, 8, 9] , time: 203310016 #
aggregator, node_id: 2, sample: 18.482, missed_samples: 0, msg_ids_in_msg: [50, 52, 53], node_ids_in_msg: [4, 5, 6] , time: 206270992 #
aggregator, node_id: 3, sample: 65.306, missed_samples: 0, msg_ids_in_msg: [51, 53, 50], node_ids_in_msg: [7, 8, 9] , time: 207817821 #
aggregator, node_id: 2, sample: 60.307, missed_samples: 0, msg_ids_in_msg: [51, 53, 54], node_ids_in_msg: [4, 5, 6] , time: 210138158 #
aggregator, node_id: 3, sample: 26.297, missed_samples: 0, msg_ids_in_msg: [52, 54, 51], node_ids_in_msg: [7, 8, 9] , time: 210903765 #
aggregator, node_id: 2, sample: 26.385, missed_samples: 0, msg_ids_in_msg: [52, 54, 55], node_ids_in_msg: [4, 5, 6] , time: 214403771 #
aggregator, node_id: 3, sample: 88.341, missed_samples: 0, msg_ids_in_msg: [53, 55, 52], node_ids_in_msg: [7, 8, 9] , time: 215778764 #
aggregator, node_id: 2, sample: 29.178, missed_samples: 0, msg_ids_in_msg: [53, 55, 56], node_ids_in_msg: [4, 5, 6] , time: 218286589 #
aggregator, node_id: 3, sample: 84.230, missed_samples: 0, msg_ids_in_msg: [54, 56, 53], node_ids_in_msg: [7, 8, 9] , time: 219302218 #
aggregator, node_id: 2, sample: 56.105, missed_samples: 0, msg_ids_in_msg: [54, 56, 57], node_ids_in_msg: [4, 5, 6] , time: 221388156 #
aggregator, node_id: 3, sample: 39.712, missed_samples: 0, msg_ids_in_msg: [55, 57, 54], node_ids_in_msg: [7, 8, 9] , time: 224208455 #
aggregator, node_id: 2, sample: 59.843, missed_samples: 0, msg_ids_in_msg: [55, 57, 58], node_ids_in_msg: [4, 5, 6] , time: 225484274 #
aggregator, node_id: 3, sample: 52.139, missed_samples: 0, msg_ids_in_msg: [56, 58, 55], node_ids_in_msg: [7, 8, 9] , time: 228544408 #
aggregator, node_id: 2, sample: 66.039, missed_samples: 0, msg_ids_in_msg: [56, 58, 59], node_ids_in_msg: [4, 5, 6] , time: 229841169 #
aggregator, node_id: 3, sample: 51.000, missed_samples: 0, msg_ids_in_msg: [57, 59, 56], node_ids_in_msg: [7, 8, 9] , time: 233411384 #
aggregator, node_id: 2, sample: 52.814, missed_samples: 0, msg_ids_in_msg: [57, 59, 60], node_ids_in_msg: [4, 5, 6] , time: 233810007 #
aggregator, node_id: 3, sample: 36.918, missed_samples: 1, msg_ids_in_msg: [58, 60, 57], node_ids_in_msg: [7, 8, 9] , time: 237981918 #
aggregator, node_id: 2, sample: 50.554, missed_samples: 0, msg_ids_in_msg: [58, 60, 61], node_ids_in_msg: [4, 5, 6] , time: 238489719 #
aggregator, node_id: 2, sample: 59.230, missed_samples: 0, msg_ids_in_msg: [59, 61, 62], node_ids_in_msg: [4, 5, 6] , time: 241856907 #
aggregator, node_id: 3, sample: 62.950, missed_samples: 0, msg_ids_in_msg: [59, 61, 59], node_ids_in_msg: [7, 8, 9] , time: 242169418 #
aggregator, node_id: 2, sample: 64.942, missed_samples: 0, msg_ids_in_msg: [60, 62, 63], node_ids_in_msg: [4, 5, 6] , time: 246247526 #
aggregator, node_id: 3, sample: 63.830, missed_samples: 1, msg_ids_in_msg: [60, 62, 60], node_ids_in_msg: [7, 8, 9] , time: 246952738 #
aggregator, node_id: 3, sample: 34.255, missed_samples: 0, msg_ids_in_msg: [61, 64, 61], node_ids_in_msg: [7, 8, 9] , time: 250429289 #
aggregator, node_id: 2, sample: 60.115, missed_samples: 0, msg_ids_in_msg: [61, 63, 64], node_ids_in_msg: [4, 5, 6] , time: 251052204 #
aggregator, node_id: 3, sample: 60.630, missed_samples: 0, msg_ids_in_msg: [62, 65, 62], node_ids_in_msg: [7, 8, 9] , time: 254278769 #
aggregator, node_id: 2, sample: 62.970, missed_samples: 0, msg_ids_in_msg: [62, 64, 65], node_ids_in_msg: [4, 5, 6] , time: 255583477 #
aggregator, node_id: 3, sample: 82.358, missed_samples: 0, msg_ids_in_msg: [63, 66, 63], node_ids_in_msg: [7, 8, 9] , time: 258911592 #
aggregator, node_id: 2, sample: 26.322, missed_samples: 0, msg_ids_in_msg: [63, 65, 66], node_ids_in_msg: [4, 5, 6] , time: 259161585 #
aggregator, node_id: 2, sample: 14.543, missed_samples: 0, msg_ids_in_msg: [64, 66, 67], node_ids_in_msg: [4, 5, 6] , time: 262265086 #
aggregator, node_id: 3, sample: 55.249, missed_samples: 0, msg_ids_in_msg: [64, 67, 64], node_ids_in_msg: [7, 8, 9] , time: 263192852 #
aggregator, node_id: 2, sample: 47.322, missed_samples: 0, msg_ids_in_msg: [65, 67, 68], node_ids_in_msg: [4, 5, 6] , time: 266567819 #
aggregator, node_id: 3, sample: 60.798, missed_samples: 1, msg_ids_in_msg: [65, 68, 65], node_ids_in_msg: [7, 8, 9] , time: 267919385 #
aggregator, node_id: 3, sample: 76.574, missed_samples: 0, msg_ids_in_msg: [66, 69, 67], node_ids_in_msg: [7, 8, 9] , time: 271325650 #
aggregator, node_id: 2, sample: 26.682, missed_samples: 1, msg_ids_in_msg: [66, 68, 69], node_ids_in_msg: [4, 5, 6] , time: 271411594 #
aggregator, node_id: 2, sample: 35.493, missed_samples: 0, msg_ids_in_msg: [67, 70, 70], node_ids_in_msg: [4, 5, 6] , time: 274927217 #
aggregator, node_id: 3, sample: 54.834, missed_samples: 0, msg_ids_in_msg: [67, 70, 68], node_ids_in_msg: [7, 8, 9] , time: 275013153 #
aggregator, node_id: 2, sample: 29.448, missed_samples: 0, msg_ids_in_msg: [68, 71, 71], node_ids_in_msg: [4, 5, 6] , time: 279421547 #
aggregator, node_id: 3, sample: 38.613, missed_samples: 0, msg_ids_in_msg: [68, 71, 69], node_ids_in_msg: [7, 8, 9] , time: 279757409 #
aggregator, node_id: 2, sample: 71.575, missed_samples: 1, msg_ids_in_msg: [69, 72, 72], node_ids_in_msg: [4, 5, 6] , time: 283122519 #
aggregator, node_id: 3, sample: 27.241, missed_samples: 0, msg_ids_in_msg: [69, 72, 70], node_ids_in_msg: [7, 8, 9] , time: 283630350 #
aggregator, node_id: 3, sample: 36.027, missed_samples: 0, msg_ids_in_msg: [70, 73, 71], node_ids_in_msg: [7, 8, 9] , time: 287622447 #
aggregator, node_id: 2, sample: 51.684, missed_samples: 0, msg_ids_in_msg: [71, 73, 73], node_ids_in_msg: [4, 5, 6] , time: 287788676 #
aggregator, node_id: 3, sample: 36.813, missed_samples: 0, msg_ids_in_msg: [71, 74, 72], node_ids_in_msg: [7, 8, 9] , time: 291395967 #
aggregator, node_id: 2, sample: 17.489, missed_samples: 0, msg_ids_in_msg: [72, 74, 74], node_ids_in_msg: [4, 5, 6] , time: 292005349 #
aggregator, node_id: 2, sample: 38.734, missed_samples: 0, msg_ids_in_msg: [73, 75, 75], node_ids_in_msg: [4, 5, 6] , time: 295435049 #
aggregator, node_id: 3, sample: 37.574, missed_samples: 0, msg_ids_in_msg: [72, 75, 73], node_ids_in_msg: [7, 8, 9] , time: 295492021 #
aggregator, node_id: 3, sample: 81.298, missed_samples: 0, msg_ids_in_msg: [73, 76, 74], node_ids_in_msg: [7, 8, 9] , time: 299286572 #
aggregator, node_id: 2, sample: 62.145, missed_samples: 0, msg_ids_in_msg: [74, 76, 76], node_ids_in_msg: [4, 5, 6] , time: 299343330 #
aggregator, node_id: 2, sample: 35.595, missed_samples: 0, msg_ids_in_msg: [75, 77, 77], node_ids_in_msg: [4, 5, 6] , time: 302364707 #
aggregator, node_id: 3, sample: 39.074, missed_samples: 0, msg_ids_in_msg: [74, 77, 75], node_ids_in_msg: [7, 8, 9] , time: 303903687 #
aggregator, node_id: 2, sample: 68.368, missed_samples: 0, msg_ids_in_msg: [76, 78, 78], node_ids_in_msg: [4, 5, 6] , time: 305958465 #
aggregator, node_id: 3, sample: 74.796, missed_samples: 0, msg_ids_in_msg: [75, 78, 76], node_ids_in_msg: [7, 8, 9] , time: 307778791 #
aggregator, node_id: 2, sample: 68.267, missed_samples: 0, msg_ids_in_msg: [77, 79, 79], node_ids_in_msg: [4, 5, 6] , time: 310317828 #
aggregator, node_id: 3, sample: 57.611, missed_samples: 0, msg_ids_in_msg: [76, 79, 77], node_ids_in_msg: [7, 8, 9] , time: 312130344 #
aggregator, node_id: 2, sample: 49.775, missed_samples: 0, msg_ids_in_msg: [78, 80, 80], node_ids_in_msg: [4, 5, 6] , time: 314435017 #
aggregator, node_id: 3, sample: 27.302, missed_samples: 1, msg_ids_in_msg: [77, 80, 78], node_ids_in_msg: [7, 8, 9] , time: 316208464 #
aggregator, node_id: 2, sample: 70.443, missed_samples: 0, msg_ids_in_msg: [79, 81, 81], node_ids_in_msg: [4, 5, 6] , time: 317645957 #
aggregator, node_id: 3, sample: 39.513, missed_samples: 0, msg_ids_in_msg: [78, 81, 80], node_ids_in_msg: [7, 8, 9] , time: 319286561 #
aggregator, node_id: 2, sample: 53.050, missed_samples: 0, msg_ids_in_msg: [80, 82, 82], node_ids_in_msg: [4, 5, 6] , time: 321786500 #
aggregator, node_id: 3, sample: 67.509, missed_samples: 0, msg_ids_in_msg: [79, 82, 81], node_ids_in_msg: [7, 8, 9] , time: 323856878 #
aggregator, node_id: 2, sample: 19.073, missed_samples: 0, msg_ids_in_msg: [81, 83, 83], node_ids_in_msg: [4, 5, 6] , time: 326497428 #
aggregator, node_id: 3, sample: 37.499, missed_samples: 0, msg_ids_in_msg: [80, 83, 82], node_ids_in_msg: [7, 8, 9] , time: 327661591 #
aggregator, node_id: 2, sample: 31.650, missed_samples: 0, msg_ids_in_msg: [82, 84, 84], node_ids_in_msg: [4, 5, 6] , time: 329817833 #
aggregator, node_id: 3, sample: 63.838, missed_samples: 0, msg_ids_in_msg: [81, 84, 83], node_ids_in_msg: [7, 8, 9] , time: 331341289 #
aggregator, node_id: 2, sample: 42.847, missed_samples: 0, msg_ids_in_msg: [83, 85, 85], node_ids_in_msg: [4, 5, 6] , time: 333567841 #
aggregator, node_id: 3, sample: 54.422, missed_samples: 0, msg_ids_in_msg: [82, 85, 84], node_ids_in_msg: [7, 8, 9] , time: 335177194 #
aggregator, node_id: 2, sample: 43.857, missed_samples: 0, msg_ids_in_msg: [84, 86, 86], node_ids_in_msg: [4, 5, 6] , time: 337567851 #
aggregator, node_id: 3, sample: 45.958, missed_samples: 0, msg_ids_in_msg: [83, 86, 85], node_ids_in_msg: [7, 8, 9] , time: 338833464 #
aggregator, node_id: 2, sample: 54.964, missed_samples: 0, msg_ids_in_msg: [85, 87, 87], node_ids_in_msg: [4, 5, 6] , time: 341278777 #
aggregator, node_id: 3, sample: 53.116, missed_samples: 0, msg_ids_in_msg: [84, 87, 86], node_ids_in_msg: [7, 8, 9] , time: 343015464 #
aggregator, node_id: 2, sample: 64.394, missed_samples: 0, msg_ids_in_msg: [86, 88, 88], node_ids_in_msg: [4, 5, 6] , time: 345364699 #
aggregator, node_id: 3, sample: 45.304, missed_samples: 0, msg_ids_in_msg: [85, 88, 87], node_ids_in_msg: [7, 8, 9] , time: 347677200 #
aggregator, node_id: 2, sample: 73.741, missed_samples: 0, msg_ids_in_msg: [87, 89, 89], node_ids_in_msg: [4, 5, 6] , time: 349847539 #
aggregator, node_id: 3, sample: 56.507, missed_samples: 1, msg_ids_in_msg: [86, 89, 88], node_ids_in_msg: [7, 8, 9] , time: 351648569 #
aggregator, node_id: 2, sample: 17.204, missed_samples: 0, msg_ids_in_msg: [88, 90, 90], node_ids_in_msg: [4, 5, 6] , time: 354380334 #
aggregator, node_id: 3, sample: 86.864, missed_samples: 0, msg_ids_in_msg: [87, 91, 89], node_ids_in_msg: [7, 8, 9] , time: 356474070 #
